FFT_pack x,FFT_pack y,FFTW3_R2R x,FFTW3_R2R y,FFTW3_in_place x,FFTW3_in_place y,JMFFTC x,JMFFTC y
2.0000,65.4898,2.0000,68.2795,2.0000,102.8413,2.0000,21.3306
4.0000,197.8391,4.0000,509.8510,4.0000,415.9964,4.0000,45.4998
8.0000,276.4796,8.0000,1097.1845,8.0000,971.2073,8.0000,54.8426
16.0000,564.3568,16.0000,1691.9218,16.0000,1662.2816,16.0000,101.2296
32.0000,634.5005,32.0000,2005.0770,32.0000,1975.4430,32.0000,95.7585
64.0000,882.7854,64.0000,1241.3101,64.0000,1656.2733,64.0000,129.8077
128.0000,1060.3891,128.0000,1554.4714,128.0000,1581.6417,128.0000,121.8542
256.0000,1181.4354,256.0000,1593.4545,256.0000,1694.7253,256.0000,128.7332
512.0000,1141.3199,512.0000,780.2810,512.0000,1886.8496,512.0000,103.5020
1024.0000,917.4154,1024.0000,1266.3376,1024.0000,1831.9781,1024.0000,98.0247
2048.0000,1044.1167,2048.0000,1273.2166,2048.0000,1809.2107,2048.0000,114.7838
4096.0000,938.9612,4096.0000,1188.6987,4096.0000,1927.2405,4096.0000,106.8427
8192.0000,912.9833,8192.0000,1136.2972,8192.0000,1852.6027,8192.0000,121.1256
16384.0000,655.1415,16384.0000,1054.2555,16384.0000,1466.7487,16384.0000,103.2982
32768.0000,287.0262,32768.0000,668.3953,32768.0000,1147.5729,32768.0000,80.5308
65536.0000,179.0502,65536.0000,539.4171,65536.0000,737.0186,65536.0000,55.2996
131072.0000,154.5925,131072.0000,521.5898,131072.0000,593.2203,131072.0000,62.1724
262144.0000,154.0550,262144.0000,474.1283,262144.0000,558.1090,262144.0000,54.2189
